total_enrollment,women_proportion,Foreign_proportion,early_career_pay,stem_percent,net_cost,type,in_state_total,out_of_state_total
3154,0.5478757133798351,0,44400,3,9163,Public,18222,29238
5519,0.6214894002536692,0.023554992,39800,16,10795,Public,16490,24818
3639,0.6581478428139599,0.015938445,40900,19,12687,Public,16752,16752
3418,0.4631363370392042,0.2126974839087185,47600,7,15494,Private,38366,38366
18026,0.5533118828359037,0.011982692,46600,9,5559,Public,15518,30325
12002,0.557323779,0.037410432,45000,7,8671,Public,16938,23718
25912,0.4939024390243902,0.05507101,54400,31,11380,Public,24608,43856
5057,0.6393118449673719,0.045283765,45000,12,9611,Public,17268,29028
7988,0.6233099649474211,0.018903355,47000,10,5605,Public,20398,39436
10111,0.6042923548610424,0.004252794,44200,10,8510,Public,19111,35167
3049,0.4280091833387996,0.2997704165300098,72000,0,18789,Private,67416,67416
2957,0.5847142374027731,0.008116334,47800,2,17951,Private,38240,38240
20655,0.6070200919874122,0.038392641,45600,7,9038,Public,20130,36702
2573,0.998056743,0.074621065,59200,19,10190,Private,72257,72257
8518,0.6561399389528059,0.066917117,47400,12,16578,Private,40950,40950
16263,0.5627498001598721,0.042058661,55500,16,21454,Private,58322,58322
4114,0.6842489061740399,0.020661157,41200,2,21438,Private,33800,33800
3609,0.6733167082294265,0.013300083,49000,11,18411,Private,54450,54450
9879,0.5318352059925093,0.029355198,49400,23,10704,Private,18120,18120
7244,0.6181667586968526,0.01256212,47300,3,26120,Private,46430,46430
2444,0.5008183306055647,0,38100,19,15657,Private,22800,22800
2138,0.5257249766136576,0.031805426,48700,13,18057,Private,39830,39830
5565,0.4285714285714285,0.2122192273135669,66600,7,19429,Private,66200,66200
2177,0.6132292145153881,0.008727607,44900,21,16166,Private,49326,49326
4489,0.649587881,0.016261974,40400,11,12382,Public,15711,18756
2004,0.6377245508982036,0.03493014,48400,17,15734,Private,41500,41500
22227,0.5452827642056958,0.036712107,50100,14,10816,Public,18386,34468
14317,0.5453656492281903,0.097855696,63600,13,15564,Private,69942,69942
32112,0.5843609865470852,0.1996761335326357,61400,25,26951,Private,69668,69668
5695,0.6291483757682177,0.041088674,50300,11,9568,Public,19137,29777
5300,0.5043396226415094,0.073018868,55600,38,14732,Private,44380,44380
5945,0.5429772918418839,0.2328006728343145,60600,29,12754,Private,70835,70835
9181,0.5099662346149657,0.1676287986058163,68200,43,5404,Private,70326,70326
3462,0.414789139,0.080589255,60500,8,26973,Private,59675,59675
3624,0.5195916114790287,0.061258278,66700,40,15692,Private,69754,69754
4848,0.593440594,0.028671617,51800,9,21603,Private,54950,54950
2209,0.3073789044816659,0.2729741964689905,84100,97,6444,Private,67887,67887
3993,0.5537190082644629,0.1064362634610568,50200,23,17538,Private,44800,44800
5537,0.6053819757991692,0.047498645,43900,14,7385,Public,11902,21322
6101,0.528601869,0.019832814,46300,8,20029,Private,43930,43930
3427,0.5795156113218558,0.065946892,37600,7,12737,Private,33400,33400
3811,0.6436630805562844,0.031750197,47000,2,18118,Private,38438,38438
2057,0.5279533300923676,0.09577054,58800,45,10770,Private,68844,68844
12587,0.3799157861285453,0.3829347739731469,75900,66,20372,Private,69883,69883
3446,0.654962275,0.015670342,45600,14,17163,Private,41402,41402
2362,0.5952582557154953,0.047417443,42700,5,15746,Private,36710,36710
2948,0.5396879240162822,0.005427408,48900,17,21145,Private,55540,55540
10771,0.4994893696035651,0.1877263021075109,66600,37,19976,Private,64232,64232
12037,0.5013707734485336,0.016864667,53100,15,12542,Public,22792,34032
26879,0.5694780311767551,0.041296179,47700,13,9965,Public,23036,23036
11799,0.520976354,0.008729553,52700,13,8907,Public,19187,34168
3033,0.58193208,0.018133861,42300,3,7330,Public,14576,14576
2756,0.6538461538461539,0.021407837,45400,3,15705,Private,39004,39004
3585,0.4170153417015341,0.009762901,51100,14,24723,Private,56364,56364
3367,0.6225126225126225,0.007128007,42800,9,14015,Private,35700,35700
5221,0.5740279639915725,0.002681479,50800,25,14370,Public,26214,38680
3485,0.7383070301291248,0.036441894,46300,15,28203,Private,32960,32960
3423,0.5685071574642127,0.2474437627811861,52600,14,16851,Private,54900,54900
3873,0.305706171,0.082365092,66400,58,15359,Private,64352,64352
21857,0.4648396394747678,0.071784783,57500,39,6666,Public,25802,47556
16936,0.5497756258856873,0.085203118,48300,20,15135,Public,24185,28552
9976,0.5508219727345629,0.0138332,44700,14,11263,Public,20726,35838
2888,0.5436288088642659,0.087257618,68400,26,8864,Private,69865,69865
11456,0.6397520949720671,0.014664804,47300,20,11180,Public,24904,44086
2787,0.4901327592393254,0.01435235,61800,24,10741,Private,67290,67290
5787,0.6372904786590634,0.001209608,46800,2,19993,Private,43712,43712
2067,0.5370101596516691,0.06918239,53100,23,12429,Private,67982,67982
9116,0.5401491882404563,0.005704256,47800,7,13895,Public,20168,33365
5962,0.2831264676283127,0.1147266018114726,75600,93,19089,Public,32133,51753
8192,0.59765625,0.014038086,43300,10,9965,Public,17080,30562
21679,0.4846625766871165,0.2022233497855067,70100,43,9980,Private,70004,70004
8236,0.5724866440019427,0.02379796,53500,9,19205,Private,50952,50952
3047,0.44765343,0.038070233,48400,53,10254,Public,16149,19122
6298,0.4711019371228961,0.153064465,71500,35,8094,Private,71209,71209
23799,0.5315349384427918,0.058027648,55700,15,19812,Private,54210,54210
2215,0.5422121896162528,0.093905192,56600,24,14723,Private,62724,62724
4397,0.6277007050261542,0.049124403,46300,10,17872,Public,20058,29094
3614,0.6209186496956282,0.03071389,40800,5,6632,Public,14968,14968
2278,0.5763827919227392,0.072431958,54400,22,41577,Private,64670,64670
2364,0.5807952622673435,0.085871404,55800,25,14932,Private,68359,68359
5062,0.5875148162781509,0.055511655,52800,7,21139,Private,51924,51924
2113,0.5901561760530052,0.085186938,52800,16,18085,Private,53608,53608
26359,0.5247922910580827,0.1251564930384309,61700,28,26049,Private,67358,67358
4215,0.6045077105575326,0.046500593,42600,12,13659,Private,36461,36461
15856,0.4976664984863774,0.1828329969727548,71100,26,3813,Private,70873,70873
27511,0.59797899,0.009159972,48400,11,8961,Public,16794,33071
14434,0.5798115560482194,0.033809062,43700,8,12568,Public,17749,36931
5287,0.5292226215244941,0.010402875,49200,14,13169,Public,24916,36156
16305,0.5748543391597669,0.018215271,45600,5,8357,Public,18314,28092
22401,0.5964912280701754,0.033703853,47300,6,11588,Public,23813,23813
3653,0.6408431426225021,0.01368738,44000,5,10894,Public,18719,30779
13453,0.5561584776629748,0.030030476,49500,17,7461,Public,20116,37237
2083,0.6207393182909265,0.042726836,49200,25,18204,Private,57128,57128
2980,0.7204697986577181,0.041946309,49500,5,14972,Private,40520,40520
6483,0.5947863643374981,0.016504705,53600,7,19047,Private,47549,47549
14769,0.565305708,0.1595910352765928,62000,20,17035,Private,65762,65762
6114,0.6277396140006543,0.090121034,43500,9,8949,Public,15670,29587
5123,0.6014054265079055,0.066367363,62300,17,21409,Private,63060,63060
4035,0.5588599752168525,0.026270136,42900,7,8571,Public,16518,25328
3335,0.6002998500749626,0.014692654,39400,2,17140,Private,29440,29440
14600,0.5304109589041096,0.030068493,50000,8,9294,Public,22524,22524
30297,0.5702544806416477,0.024358847,49400,15,8003,Public,17935,33491
6393,0.3300484905365243,0.351008916,58300,48,25237,Private,54730,54730
49610,0.5595041322314049,0.072949002,49600,16,8811,Public,17440,29838
41226,0.549289283,0.045481007,50800,18,10676,Public,17332,32499
15231,0.5845315475018056,0.124876896,58700,10,21699,Private,70656,70656
13825,0.6052079566003616,0.2576491862567812,45100,6,8021,Public,13433,23501
3791,0.4869427591664468,0.01398048,48300,19,9777,Public,18918,29574
3944,0.702079108,0.015973631,42900,18,13607,Public,19108,29492
2275,0.5626373626373626,0.023736264,47800,3,22857,Private,50245,50245
5645,0.5241806908768822,0.021789194,49600,19,13511,Public,19374,33094
3786,0.5641838351822503,0.042789223,51200,8,17979,Private,47270,47270
33729,0.5373121053099706,0.063328293,58900,23,12120,Public,23922,47382
20517,0.522298582,0.017400205,49000,17,13791,Public,17492,30974
32556,0.5899987713478314,0.046258754,50600,18,12475,Public,22236,40810
2447,0.5247241520228851,0.037597058,58400,24,10802,Private,67490,67490
2012,0.4319085487077534,0.635685885,49800,25,19726,Private,30700,30700
7352,0.5644722524483133,0.059983678,57800,19,17726,Private,55154,55154
2120,0.7084905660377359,0.011792453,49400,11,18014,Private,58806,58806
4504,0.622113677,0.035968028,43100,10,12672,Public,14627,23650
2457,0.5421245421245421,0.026455026,51200,22,13822,Private,55310,55310
4469,0.619825464,0.017677333,48100,5,15936,Private,51656,51656
4393,0.6505804689278397,0.013885727,52700,12,20397,Private,38480,38480
6059,0.5730318534411619,0.055784783,49200,10,11525,Private,27179,27179
5827,0.5666723871632058,0.1419255191350609,52200,15,22711,Private,40780,40780
3627,0.5679625034463744,0.010476978,42900,5,8277,Public,15940,17590
4399,0.6017276653784951,0.014776085,48600,8,24821,Private,49248,49248
10953,0.5604857116771661,0.097872729,57300,7,26828,Private,62708,62708
2365,0.6350951374207188,0.065539112,47900,32,11807,Private,52192,52192
3455,0.6034732272069464,0.024602026,49200,18,14262,Private,44320,44320
3415,0.5546120058565154,0.026354319,43300,1,15129,Private,28010,28010
13429,0.5185791942810336,0.1011244321989723,50800,12,12829,Public,14627,30147
7898,0.3556596606735882,0.4832869080779944,64600,64,10434,Private,60058,60058
20615,0.5602231384913897,0.020616056,51200,10,10897,Public,24366,35890
13183,0.5507092467571872,0.075703558,47900,8,7640,Public,19680,30426
34435,0.4398141425874837,0.1155800784085959,56100,31,8559,Public,17708,32112
9508,0.6462978544383677,0.029028187,41700,16,12616,Public,17778,29006
8659,0.5748931747314933,0.02436771,43800,7,13592,Public,18525,28245
4085,0.6643818849449205,0.032313341,50100,5,24277,Private,50750,50750
20855,0.5959242387916567,0.023735315,57400,12,9727,Public,22108,38508
2850,0.5803508771929825,0.037894737,47000,9,11807,Private,36152,36152
3688,0.5070498915401301,0.023318872,51600,16,15284,Private,53214,53214
21372,0.5197922515440764,0.1763990267639902,67200,31,12168,Private,70076,70076
24766,0.4932568844383428,0.090729226,52500,18,12087,Public,19943,35447
14359,0.6291524479420573,0.013580333,48200,10,15740,Public,26818,33853
4957,0.571111559,0.00040347,48900,8,13364,Public,25238,34202
25714,0.5807342303803376,0.021311348,52500,22,14750,Public,18899,32625
2079,0.18999519,0.064935065,69900,74,24013,Private,51730,51730
6242,0.6598846523550144,0.027395066,55800,5,21591,Private,45640,45640
2503,0.4686376348381941,0.078306033,66500,47,13682,Private,68520,68520
2407,0.5226422933111757,0.066057333,45900,14,6889,Public,21972,21972
14895,0.606310843,0.070560591,53300,16,15553,Public,19112,31562
2787,0.6889128094725512,0.012917115,42600,9,13504,Public,20800,30400
2482,0.6317485898468976,0.002014504,46500,8,9017,Public,15426,22776
4015,0.2545454545454545,0.058032379,57900,60,23182,Private,43520,43520
2667,0.5148106486689163,0.043494563,56600,21,16175,Private,40180,40180
7119,0.446551482,0.1554993678887484,69500,52,15400,Private,66530,66530
2050,0.6248780487804878,0.01804878,46400,7,16225,Private,48910,48910
3504,0.6004566210045662,0.067636986,50000,12,15761,Private,63424,63424
6689,0.5993422036178802,0.013903424,49700,14,13154,Private,43028,43028
4304,0.6064126394052045,0.026022305,44900,5,11503,Public,14198,26816
3214,0.560360921,0.033914126,42100,10,22523,Private,35765,35765
12151,0.5868652785778948,0.098016624,45100,9,20220,Private,26600,26600
2641,0.6134040136312003,0.001514578,35300,2,14397,Private,34235,34235
4489,0.6219648028514145,0.016039207,49000,12,17144,Private,44796,44796
5096,0.6815149136577708,0.008634223,47300,9,12984,Public,25086,41046
11225,0.4882850779510022,0.051046771,53100,24,5751,Public,16140,25053
9515,0.5841303205465055,0.071150815,58500,9,27017,Private,63012,63012
15902,0.6423720286756383,0.051943152,53400,15,22969,Private,58528,58528
5967,0.6143790849673203,0.008714597,59900,8,20672,Private,63515,63515
4330,0.6224018475750578,0.032101617,47900,4,19988,Private,53072,53072
2385,0.5618448637316562,0.061215933,48200,21,17248,Private,51750,51750
6935,0.6713770728190339,0.1182408074981975,65900,2,27364,Private,49105,49105
2073,0.6054027978774723,0.13555234,53600,31,11062,Private,66500,66500
3970,0.4511335012594458,0.034005038,64000,40,17219,Private,59680,59680
11745,0.5250744997871435,0.051426139,57800,25,19219,Private,54590,54590
13381,0.5853822584261266,0.031761453,45000,12,6064,Public,18578,29064
2262,0.717948718,0.1330680813439434,49000,0,28566,Private,61910,61910
3441,0.6832316187154897,0.091833769,52300,15,18781,Private,44656,44656
5931,0.7904232001348845,0.018715225,46800,2,19767,Private,38558,38558
11319,0.3733545366198427,0.2917218835586183,86300,69,4995,Private,67342,67342
3206,0.6375545851528385,0.010605115,51100,6,11215,Private,54690,54690
8237,0.6215855287119096,0.043826636,50200,13,5812,Public,16563,27638
8552,0.6199719363891487,0.039873714,48500,14,15550,Private,48510,48510
3337,0.522625112,0.05783638,56000,13,20296,Private,57605,57605
2461,0.4628199918732222,0.062576189,45800,9,26798,Private,46736,46736
50081,0.5145064994708572,0.1525927996645434,55300,20,6394,Public,24782,50087
7099,0.2629947879983096,0.1539653472320045,65000,81,9821,Public,26402,44482
2688,0.6447172619047619,0.004464286,40700,0,19691,Private,26370,26370
22729,0.542346782,0.040828897,46500,9,5752,Public,18642,37800
2533,0.5175681010659298,0.1073825503355704,60400,19,8846,Private,69980,69980
2810,0.2405693950177936,0.1217081850533807,65700,69,19034,Private,51138,51138
3410,0.6064516129032258,0.1205278592375366,44500,7,9457,Public,13674,13674
4984,0.5941011235955056,0.078250401,45200,20,10940,Private,28326,28326
20138,0.4859469659350481,0.038732744,51100,27,13182,Public,18850,33450
2696,0.8130563798219584,0.020400593,39500,2,8761,Public,14464,14464
2222,0.5918091809180918,0,32500,11,10507,Public,14613,14613
8640,0.2261574074074074,0.1754629629629629,67300,80,11853,Public,20443,38773
6395,0.636903831,0.020797498,52200,13,15060,Private,52119,52119
2085,0.3247002398081535,0.1064748201438848,61200,61,10827,Public,17067,32230
20022,0.6320047947258016,0.027569673,50800,9,16097,Public,28354,36142
11052,0.6056822294607311,0.012757872,41300,9,8078,Public,19130,23606
2109,0.000474158,0.031294452,55700,26,24187,Private,41012,41012
2823,0.6840240878498052,0.016294722,44900,6,15826,Private,41140,41140
2440,0.5971311475409836,0.01147541,53400,20,15106,Private,64360,64360
11207,0.5863299723387169,0.073614705,44800,9,7565,Public,18274,33730
2083,0.6380220835333653,0.020643303,45700,8,18972,Private,43824,43824
2399,0.5927469779074614,0.03584827,45700,24,22943,Private,52136,52136
2922,0.3220396988364134,0.036618754,51700,14,28855,Private,43005,43005
8136,0.6339724680432645,0.017576205,48700,9,8164,Public,24789,34311
10646,0.2503287619763291,0.1693593838061243,64600,75,11452,Public,30938,46350
3546,0.6395939086294417,0.056119571,40400,4,9060,Public,14022,18174
2127,0.3215796897038082,0.070992008,64700,91,6355,Public,16280,30778
49274,0.5510614116978528,0.2332873320615334,63100,18,27274,Private,69984,69984
3687,0.6525630593978845,0.02278275,48000,11,17290,Private,39050,39050
6292,0.6311188811188811,0.022886205,44500,5,6256,Public,17920,19013
3043,0.5507722642129478,0.018402892,50400,9,15003,Private,49899,49899
8310,0.622864019,0.014681107,44500,7,5692,Public,14288,22358
19798,0.4931811294070108,0.2759369633296292,62500,40,18542,Private,68267,68267
27705,0.5889189676953619,0.044973831,49600,12,11442,Public,21846,36110
20611,0.5066226772111979,0.052884382,53000,20,15775,Public,23142,23142
