name,net_cost,type,degree_length,in_state_total,out_of_state_total
Spartanburg Methodist College,14657.0,Private,2 Year,26410,26410
Spelman College,28665.0,Private,4 Year,43179,43179
Spring Arbor University,12693.0,Private,4 Year,38820,38820
Spring Hill College,14099.0,Private,4 Year,52926,52926
Springfield College,20473.0,Private,4 Year,49995,49995
St. Andrews University,17115.0,Private,4 Year,37354,37354
St. John's College,16244.0,Private,4 Year,65820,65820
St. John's College,16244.0,Private,4 Year,66266,66266
St. Mary's University,14748.0,Private,4 Year,40920,40920
St. Thomas Aquinas College,15321.0,Private,4 Year,45200,45200
Stanford University,4501.0,Private,4 Year,67117,67117
State Fair Community College,5780.0,Public,2 Year,9050,12500
State Technical College of Missouri,9200.0,Public,2 Year,11960,17000
Stephens College,20963.0,Private,4 Year,41582,41582
Sterling College,10928.0,Private,4 Year,48700,48700
Sterling College,10928.0,Private,4 Year,34280,34280
Stetson University,17819.0,Private,4 Year,59082,59082
Stevens Institute of Technology,19347.0,Private,4 Year,67446,67446
Stevenson University,16521.0,Private,4 Year,49312,49312
Stillman College,15335.0,Private,4 Year,18332,18332
Stockton University,16678.0,Public,4 Year,26021,33148
Stonehill College,23080.0,Private,4 Year,58746,58746
Suffolk University,24393.0,Private,4 Year,56412,56412
Sul Ross State University,8645.0,Public,4 Year,16551,29001
Sullivan County Community College,6221.0,Public,2 Year,15518,20332
Susquehanna University,16908.0,Private,4 Year,59920,59920
Sussex County Community College,6296.0,Public,2 Year,10905,15105
Swarthmore College,10793.0,Private,4 Year,68062,68062
Sweet Briar College,18272.0,Private,4 Year,34000,34000
Syracuse University,18579.0,Private,4 Year,67403,67403
Tabor College,19096.0,Private,4 Year,38095,38095
Taft College,6140.0,Public,2 Year,6322,14062
Talladega College,13031.0,Private,4 Year,19214,19214
Talmudical Institute of Upstate New York,6950.0,Private,4 Year,10550,10550
Talmudical Seminary Oholei Torah,13266.0,Private,4 Year,17500,17500
Talmudical Yeshiva of Philadelphia,10820.0,Private,4 Year,16500,16500
Tarleton State University,11481.0,Public,4 Year,20877,33212
Taylor University,18622.0,Private,4 Year,43728,43728
Temple University,17796.0,Public,4 Year,28886,40982
Tennessee State University,7821.0,Public,4 Year,15814,29170
Tennessee Technological University,9163.0,Public,4 Year,18839,35495
Tennessee Wesleyan University,9226.0,Private,4 Year,32680,32680
Texas A&M University-Texarkana,4366.0,Public,4 Year,15756,30792
Texas Christian University,18908.0,Private,4 Year,59754,59754
Texas College,13460.0,Private,4 Year,18008,18008
Texas Lutheran University,14232.0,Private,4 Year,39770,39770
Texas Southern University,16302.0,Public,4 Year,19455,31905
Texas State Technical College,7733.0,Public,2 Year,10744,15514
Texas State University,7412.0,Public,4 Year,20309,32759
Texas Tech University,14881.0,Public,4 Year,20575,33025
Texas Wesleyan University,16228.0,Private,4 Year,40859,40859
Texas Woman's University,10425.0,Public,4 Year,17549,29999
Thaddeus Stevens College of Technology,2078.0,Public,2 Year,16360,16360
The College of New Jersey,8286.0,Public,4 Year,30168,41883
The King's College,28023.0,Private,4 Year,50450,50450
The Master's University and Seminary,33149.0,Private,4 Year,36590,36590
The Sage Colleges,12226.0,Private,4 Year,43475,43475
Thiel College,16968.0,Private,4 Year,44300,44300
Thomas Aquinas College,14508.0,Private,4 Year,33400,33400
Thomas College,17710.0,Private,4 Year,38150,38150
Thomas More College,17725.0,Private,4 Year,39070,39070
Thomas More College of Liberal Arts,22818.0,Private,4 Year,31300,31300
Thomas University,7387.0,Private,4 Year,21740,21740
Three Rivers Community College,2038.0,Public,2 Year,7550,10430
Tiffin University,25298.0,Private,4 Year,35600,35600
Tillamook Bay Community College,11117.0,Public,2 Year,8942,9842
Toccoa Falls College,15674.0,Private,4 Year,31074,31074
Tompkins Cortland Community College,6641.0,Public,2 Year,17266,22516
Torah Temimah Talmudical Seminary,7919.0,Private,4 Year,14550,14550
Tougaloo College,8008.0,Private,4 Year,17433,17433
Touro College,20464.0,Private,4 Year,27349,27349
Towson University,8250.0,Public,4 Year,22974,36242
Transylvania University,14340.0,Private,4 Year,49210,49210
Treasure Valley Community College,8099.0,Public,2 Year,12728,13178
Trevecca Nazarene University,18611.0,Private,4 Year,33998,33998
Trine University,17936.0,Private,4 Year,42985,42985
Trinidad State Junior College,9592.0,Public,2 Year,11870,14849
Trinity Baptist College,10775.0,Private,4 Year,19180,19180
Trinity Christian College,20364.0,Private,4 Year,40440,40440
Trinity College,11109.0,Private,4 Year,71660,71660
Trinity College of Florida,14293.0,Private,4 Year,22990,22990
Trinity University,13993.0,Private,4 Year,56440,56440
Trinity Valley Community College,5959.0,Public,2 Year,9230,12560
Troy University,11235.0,Public,4 Year,20645,31060
Truett McConnell University,15032.0,Private,4 Year,27780,27780
Truman State University,6906.0,Public,4 Year,16509,23361
Tufts University,10742.0,Private,4 Year,70942,70942
Tusculum College,16028.0,Private,4 Year,34050,34050
Tuskegee University,25876.0,Private,4 Year,31820,31820
Tyler Junior College,5807.0,Public,2 Year,10902,13422
Union College,10247.0,Private,4 Year,30850,30850
Union College,10247.0,Private,4 Year,34740,34740
Union College,10247.0,Private,4 Year,68853,68853
Union University,18132.0,Private,4 Year,43090,43090
United Talmudical Seminary,4828.0,Private,4 Year,15300,15300
United Tribes Technical College,5006.0,Private,2 Year,9566,9566
Unity College,16073.0,Private,4 Year,39870,39870
University of Alabama at Birmingham,12457.0,Public,4 Year,17110,31030
University of Alabama in Huntsville,9325.0,Public,4 Year,20808,32456
University of Alaska Anchorage,9846.0,Public,4 Year,19888,36058
University of Alaska Fairbanks,11036.0,Public,4 Year,17017,33187
University of Alaska Southeast,10515.0,Public,4 Year,16292,28604
University of Arizona,10664.0,Public,4 Year,25037,48936
University of Arkansas,8736.0,Public,4 Year,20150,36188
University of Arkansas at Little Rock,9293.0,Public,4 Year,17896,30136
University of Arkansas at Monticello,9582.0,Public,4 Year,14520,20370
University of Arkansas at Pine Bluff,8826.0,Public,4 Year,15723,21975
University of Bridgeport,22344.0,Private,4 Year,46710,46710
University of Central Arkansas,8879.0,Public,4 Year,15605,22128
University of Central Florida,9318.0,Public,4 Year,15985,32084
University of Central Missouri,11280.0,Public,4 Year,16439,23208
University of Central Oklahoma,9099.0,Public,4 Year,15458,26346
University of Charleston,12042.0,Private,4 Year,40080,40080
University of Chicago,13267.0,Private,4 Year,74580,74580
University of Colorado Boulder,13934.0,Public,4 Year,26950,51704
University of Colorado Colorado Springs,11008.0,Public,4 Year,20963,35393
University of Connecticut,9312.0,Public,4 Year,28604,50972
University of Dallas,24484.0,Private,4 Year,53052,53052
University of Dayton,21294.0,Private,4 Year,56480,56480
University of Delaware,10463.0,Public,4 Year,26542,47172
University of Denver,23986.0,Private,4 Year,63561,63561
University of Detroit Mercy,22174.0,Private,4 Year,37496,37496
University of Dubuque,11972.0,Private,4 Year,44040,44040
University of Evansville,14431.0,Private,4 Year,48876,48876
University of Florida,7061.0,Public,4 Year,16501,38778
University of Georgia,8122.0,Public,4 Year,21868,40442
University of Hartford,24363.0,Private,4 Year,53170,53170
University of Hawaii at Hilo,8239.0,Public,4 Year,19126,32086
University of Hawaii at Manoa,6927.0,Public,4 Year,25659,47691
University of Houston,9648.0,Public,4 Year,22776,38226
University of Houston-Victoria,7618.0,Public,4 Year,16015,28465
University of Idaho,11184.0,Public,4 Year,16744,34380
University of Illinois at Chicago,9813.0,Public,4 Year,25838,39054
University of Illinois at Urbana-Champaign,8626.0,Public,4 Year,26402,42972
University of Indianapolis,16627.0,Private,4 Year,39976,39976
University of Iowa,9132.0,Public,4 Year,20439,42405
University of Jamestown,14527.0,Private,4 Year,29546,29546
University of Kansas,12964.0,Public,4 Year,21498,37708
University of Kentucky,9472.0,Public,4 Year,25227,42081
University of La Verne,14828.0,Private,4 Year,55900,55900
University of Louisiana at Lafayette,3854.0,Public,4 Year,19132,32860
University of Louisiana at Monroe,6986.0,Public,4 Year,16584,28684
University of Louisville,8246.0,Public,4 Year,20882,36504
University of Maine,12363.0,Public,4 Year,21588,41388
University of Maine at Farmington,14682.0,Public,4 Year,19392,29504
University of Maine at Fort Kent,9154.0,Public,4 Year,16335,20535
University of Maine at Machias,6376.0,Public,4 Year,16326,23586
University of Maine at Presque Isle,8228.0,Public,4 Year,16441,20641
University of Mary,10051.0,Private,4 Year,25610,25610
University of Mary Hardin-Baylor,19846.0,Private,4 Year,37196,37196
University of Mary Washington,10957.0,Public,4 Year,23306,38552
University of Memphis,8960.0,Public,4 Year,19676,31388
University of Miami,22221.0,Private,4 Year,64334,64334
University of Mississippi,9512.0,Public,4 Year,19356,35310
University of Mobile,16552.0,Private,4 Year,32420,32420
University of Montevallo,10965.0,Public,4 Year,22090,35110
University of Mount Olive,12695.0,Private,4 Year,29150,29150
University of Mount Union,20600.0,Private,4 Year,41460,41460
University of New England,24753.0,Private,4 Year,51610,51610
University of New Haven,23335.0,Private,4 Year,55170,55170
University of New Orleans,7670.0,Public,4 Year,19629,24465
University of North Alabama,9908.0,Public,4 Year,19570,27880
University of North Carolina School of the Arts,7051.0,Public,4 Year,18379,34522
University of North Carolina at Asheville,7575.0,Public,4 Year,16251,32974
University of North Carolina at Chapel Hill,5376.0,Public,4 Year,20177,46360
University of North Carolina at Charlotte,8468.0,Public,4 Year,18144,31578
University of North Carolina at Greensboro,7781.0,Public,4 Year,16357,31516
University of North Carolina at Pembroke,7249.0,Public,4 Year,12342,16342
University of North Dakota,12580.0,Public,4 Year,17669,29733
University of North Florida,4372.0,Public,4 Year,16370,30088
University of North Georgia,8291.0,Public,4 Year,15212,29024
University of North Texas,1428.0,Public,4 Year,20977,33427
University of Northern Colorado,13601.0,Public,4 Year,20990,32678
University of Northern Iowa,10179.0,Public,4 Year,17886,28428
University of Northwestern Ohio,13909.0,Private,4 Year,13500,13500
University of Notre Dame,15116.0,Private,4 Year,68801,68801
University of Oregon,11188.0,Public,4 Year,24861,48441
University of Pennsylvania,7578.0,Private,4 Year,71200,71200
University of Pikeville,13594.0,Private,4 Year,28750,28750
University of Portland,31069.0,Private,4 Year,59354,59354
University of Puget Sound,24246.0,Private,4 Year,62316,62316
University of Redlands,18717.0,Private,4 Year,63782,63782
University of Rhode Island,11566.0,Public,4 Year,27088,43812
University of Richmond,9098.0,Private,4 Year,64860,64860
University of Rio Grande,24539.0,Private,4 Year,38636,38636
University of Rochester,13878.0,Private,4 Year,69864,69864
University of Saint Joseph,19103.0,Private,4 Year,50601,50601
University of San Diego,20291.0,Private,4 Year,62338,62338
University of San Francisco,21683.0,Private,4 Year,62896,62896
University of Science and Arts of Oklahoma,4112.0,Public,4 Year,13565,23915
University of Scranton,21942.0,Private,4 Year,59714,59714
University of Sioux Falls,17061.0,Private,4 Year,25630,25630
University of South Alabama,8972.0,Public,4 Year,17490,27360
University of South Dakota,12275.0,Public,4 Year,17277,20641
University of Southern California,14338.0,Private,4 Year,71620,71620
University of Southern Indiana,9528.0,Public,4 Year,16808,27464
University of Southern Maine,15924.0,Public,4 Year,18970,32230
University of Southern Mississippi,11183.0,Public,4 Year,18591,20591
University of Toledo,11569.0,Public,4 Year,21229,30567
University of Tulsa,20590.0,Private,4 Year,52625,52625
University of Utah,11555.0,Public,4 Year,19484,39477
University of Valley Forge,17698.0,Private,4 Year,31124,31124
University of Vermont,10638.0,Public,4 Year,30738,54978
University of West Alabama,12054.0,Public,4 Year,18156,26606
University of West Georgia,9738.0,Public,4 Year,18210,31692
University of Wisconsin-Eau Claire,8686.0,Public,4 Year,16633,24909
University of Wisconsin-Green Bay,7252.0,Public,4 Year,14487,22337
University of Wisconsin-La Crosse,8872.0,Public,4 Year,15437,24255
University of Wisconsin-Madison,7323.0,Public,4 Year,21669,47919
University of Wisconsin-Milwaukee,12480.0,Public,4 Year,21812,33092
University of Wisconsin-Oshkosh,9026.0,Public,4 Year,16268,23841
University of Wisconsin-Parkside,9430.0,Public,4 Year,15555,23544
University of Wisconsin-Platteville,8468.0,Public,4 Year,15151,23001
University of Wisconsin-River Falls,9422.0,Public,4 Year,14375,21948
University of Wisconsin-Stevens Point,8254.0,Public,4 Year,15610,23877
University of Wisconsin-Stout,9969.0,Public,4 Year,16381,24347
University of Wisconsin-Superior,9302.0,Public,4 Year,14918,22491
University of Wisconsin-Whitewater,7557.0,Public,4 Year,14478,23051
University of Wyoming,7490.0,Public,4 Year,15720,27810
University of the Cumberlands,14058.0,Private,4 Year,32000,32000
University of the Incarnate Word,16192.0,Private,4 Year,44200,44200
University of the Ozarks,14568.0,Private,4 Year,31630,31630
University of the Pacific,20620.0,Private,4 Year,61690,61690
University of the Sciences,41869.0,Private,4 Year,40938,40938
University of the Southwest,12701.0,Private,4 Year,24220,24220
University of the West,25676.0,Private,4 Year,23204,23204
Upper Iowa University,18600.0,Private,4 Year,38904,38904
Urbana University,17948.0,Private,4 Year,33698,33698
Ursinus College,17699.0,Private,4 Year,64800,64800
Ursuline College,12746.0,Private,4 Year,43166,43166
Utah State University,9693.0,Public,4 Year,13824,27905
Utica College,17719.0,Private,4 Year,32630,32630
Valdosta State University,12557.0,Public,4 Year,15586,29068
Valley City State University,8124.0,Public,4 Year,14072,23612
Valley Forge Military College,21440.0,Private,2 Year,46575,46575
Valparaiso University,15082.0,Private,4 Year,52120,52120
VanderCook College of Music,18527.0,Private,4 Year,41626,41626
Vanderbilt University,7364.0,Private,4 Year,66050,66050
Vanguard University of Southern California,16567.0,Private,4 Year,44220,44220
Vassar College,6595.0,Private,4 Year,70510,70510
Vaughn College of Aeronautics and Technology,18255.0,Private,4 Year,40260,40260
Vermilion Community College,8264.0,Public,2 Year,11614,12796
Vermont Technical College,13897.0,Public,4 Year,25706,38378
Vernon College,4587.0,Public,2 Year,7096,10396
Victor Valley College,6235.0,Public,2 Year,6820,14560
Villanova University,16676.0,Private,4 Year,67328,67328
Vincennes University,8214.0,Public,2 Year,15892,23949
Virginia Commonwealth University,13672.0,Public,4 Year,24918,45566
Virginia Military Institute,5137.0,Public,4 Year,28290,55134
Virginia Polytechnic Institute and State University,11775.0,Public,4 Year,22554,40238
Virginia State University,10812.0,Public,4 Year,20264,30784
Virginia Union University,17585.0,Private,4 Year,26046,26046
Virginia University of Lynchburg,10576.0,Private,4 Year,18400,18400
Virginia Wesleyan University,18976.0,Private,4 Year,45916,45916
Visible Music College,23945.0,Private,4 Year,25500,25500
Viterbo University,12906.0,Private,4 Year,37030,37030
Voorhees College,11346.0,Private,4 Year,19976,19976
Wabash College,18037.0,Private,4 Year,53500,53500
Wagner College,18415.0,Private,4 Year,61214,61214
Wake Forest University,20493.0,Private,4 Year,69354,69354
Waldorf University,19343.0,Private,4 Year,29600,29600
Walla Walla University,18486.0,Private,4 Year,32310,32310
Walsh University,15920.0,Private,4 Year,40660,40660
Warner University,14210.0,Private,4 Year,30360,30360
Warren Wilson College,16275.0,Private,4 Year,47260,47260
Wartburg College,15850.0,Private,4 Year,51276,51276
Washburn University,11494.0,Public,4 Year,17107,28177
Washington & Jefferson College,18642.0,Private,4 Year,60640,60640
Washington Adventist University,14005.0,Private,4 Year,33270,33270
Washington College,16822.0,Private,4 Year,59392,59392
Washington County Community College,5573.0,Public,2 Year,8958,11778
Washington State University,10973.0,Public,4 Year,22979,37763
Washington and Lee University,13741.0,Private,4 Year,66380,66380
Wayland Baptist University,11532.0,Private,4 Year,28062,28062
Wayne State College,7995.0,Public,4 Year,14657,19967
Wayne State University,10801.0,Public,4 Year,23774,38668
Waynesburg University,15161.0,Private,4 Year,34984,34984
Weatherford College,5364.0,Public,2 Year,10130,13190
Webb Institute,21067.0,Private,4 Year,65225,65225
Webber International University,18512.0,Private,4 Year,35266,35266
Weber State University,7407.0,Public,4 Year,12110,22864
Webster University,16846.0,Private,4 Year,38950,38950
Welch College,13777.0,Private,4 Year,26716,26716
Wellesley College,9316.0,Private,4 Year,70200,70200
Wells College,15383.0,Private,4 Year,54800,54800
Wenatchee Valley College,6534.0,Public,2 Year,8487,8923
Wentworth Institute of Technology,21765.0,Private,4 Year,48140,48140
Wesley College,23106.0,Private,4 Year,38123,38123
Wesleyan College,8712.0,Private,4 Year,32860,32860
Wesleyan University,7755.0,Private,4 Year,69974,69974
West Chester University of Pennsylvania,12327.0,Public,4 Year,20128,31702
West Liberty University,10337.0,Public,4 Year,17136,25076
West Virginia State University,8493.0,Public,4 Year,20059,27964
West Virginia University,6366.0,Public,4 Year,19774,35868
West Virginia University Institute of Technology,5530.0,Public,4 Year,18854,30038
West Virginia Wesleyan College,15107.0,Private,4 Year,40496,40496
Western Carolina University,7423.0,Public,4 Year,13902,17902
Western Connecticut State University,15407.0,Public,4 Year,23891,35131
Western Illinois University,13569.0,Public,4 Year,20897,20897
Western Iowa Tech Community College,5360.0,Public,2 Year,10990,11020
Western Kentucky University,11995.0,Public,4 Year,18945,34839
Western Michigan University,12770.0,Public,4 Year,22626,25516
Western Nebraska Community College,4300.0,Public,2 Year,9586,9694
Western New England University,23112.0,Private,4 Year,50394,50394
Western New Mexico University,9288.0,Public,4 Year,15960,24367
Western Oklahoma State College,5772.0,Public,2 Year,9500,13855
Western Oregon University,12986.0,Public,4 Year,19955,36830
Western State Colorado University,9182.0,Public,4 Year,19749,31221
Western Technical College,7872.0,Public,2 Year,10992,12957
Western Texas College,6172.0,Public,2 Year,9133,11503
Western Washington University,8619.0,Public,4 Year,19598,35010
Western Wyoming Community College,5809.0,Public,2 Year,8452,12964
Westfield State University,11254.0,Public,4 Year,21377,27457
Westminster College,20893.0,Private,4 Year,43824,43824
Westminster College,20893.0,Private,4 Year,47936,47936
Westminster College,20893.0,Private,4 Year,37740,37740
Westmont College,21568.0,Private,4 Year,59600,59600
Wharton County Junior College,2855.0,Public,2 Year,7230,10320
Wheaton College,15641.0,Private,4 Year,66050,66050
Wheaton College,15641.0,Private,4 Year,46600,46600
Wheeling Jesuit University,16386.0,Private,4 Year,39190,39190
Whitman College,18280.0,Private,4 Year,64938,64938
Whittier College,19450.0,Private,4 Year,62496,62496
Whitworth University,18979.0,Private,4 Year,55136,55136
Wichita State University,13166.0,Public,4 Year,19523,28704
Widener University,23553.0,Private,4 Year,60394,60394
Wilberforce University,13506.0,Private,4 Year,20250,20250
Wiley College,11416.0,Private,4 Year,20236,20236
Wilkes University,17715.0,Private,4 Year,50876,50876
Willamette University,21131.0,Private,4 Year,62514,62514
William Carey University,15520.0,Private,4 Year,19410,19410
William Jessup University,13583.0,Private,4 Year,44270,44270
William Jewell College,19124.0,Private,4 Year,44330,44330
William Paterson University of New Jersey,9651.0,Public,4 Year,24505,32705
William Peace University,20438.0,Private,4 Year,41600,41600
William Penn University,16478.0,Private,4 Year,32552,32552
William Woods University,17382.0,Private,4 Year,33810,33810
Williams College,6186.0,Private,4 Year,69950,69950
Williston State College,6428.0,Public,2 Year,13254,13254
Wilmington College,17349.0,Private,4 Year,35600,35600
Wilson College,16197.0,Private,4 Year,36189,36189
Wingate University,13721.0,Private,4 Year,43946,43946
Winona State University,12138.0,Public,4 Year,18435,24358
Winston-Salem State University,6553.0,Public,4 Year,15364,25611
Winthrop University,11670.0,Public,4 Year,24902,39158
Wisconsin Indianhead Technical College,7621.0,Public,2 Year,11812,13858
Wisconsin Lutheran College,12812.0,Private,4 Year,39915,39915
Wittenberg University,20922.0,Private,4 Year,49856,49856
Wofford College,11871.0,Private,4 Year,56530,56530
Woodbury University,22546.0,Private,4 Year,51775,51775
Worcester Polytechnic Institute,22585.0,Private,4 Year,65304,65304
Worcester State University,10245.0,Public,4 Year,22423,28503
Xavier University,24222.0,Private,4 Year,51310,51310
Xavier University of Louisiana,19566.0,Private,4 Year,33535,33535
Yale University,7852.0,Private,4 Year,69430,69430
Yavapai College,5331.0,Public,2 Year,12308,20678
Yeshiva College of the Nations Capital,2950.0,Private,4 Year,20600,20600
Yeshiva Derech Chaim,3833.0,Private,4 Year,15900,15900
Yeshiva Karlin Stolin,4799.0,Private,4 Year,16000,16000
Yeshiva Shaarei Torah of Rockland,17800.0,Private,4 Year,16000,16000
Yeshiva University,18227.0,Private,4 Year,55750,55750
Yeshivath Beth Moshe,2313.0,Private,4 Year,12400,12400
Yeshivath Viznitz,7300.0,Private,4 Year,14050,14050
York College,16497.0,Private,4 Year,26530,26530
York College of Pennsylvania,15762.0,Private,4 Year,31300,31300
Young Harris College,10997.0,Private,4 Year,41489,41489
Youngstown State University,10224.0,Public,4 Year,18350,24350
